rank,player_id,player_name,team_name,country,shirt_number,apps_count,apps_scaled,rating,rating_scaled,mvp_scaled,stages_count,player_url
1,82726,Fabian Schär,FC Basel 1893,Switzerland,5,13,0.92857,7.53,0.75803,0.70388,1,https://www.whoscored.com/players/82726/show/fabian-schär
2,31468,Gökhan Gönül,Fenerbahce,Turkey,77,13,0.92857,7.39,0.70321,0.65298,1,https://www.whoscored.com/players/31468/show/gökhan-gönül
3,22167,Mehmet Topal,Fenerbahce,Turkey,14,12,0.85714,7.4,0.70702,0.60602,1,https://www.whoscored.com/players/22167/show/mehmet-topal
4,17108,Hernanes,Lazio,Brazil,8,12,0.85714,7.36,0.69186,0.59302,1,https://www.whoscored.com/players/17108/show/hernanes
5,30765,Bibras Natkho,Rubin Kazan,Israel,10,11,0.78571,7.51,0.75001,0.58929,1,https://www.whoscored.com/players/30765/show/bibras-natkho
6,7516,Dirk Kuijt,Fenerbahce,Netherlands,18,13,0.92857,7.19,0.63012,0.58511,1,https://www.whoscored.com/players/7516/show/dirk-kuijt
7,28521,Iván Marcano,Rubin Kazan,Spain,5,10,0.71429,7.67,0.81599,0.58285,1,https://www.whoscored.com/players/28521/show/iván-marcano
8,22740,Cristian Baroni,Fenerbahce,Brazil,16,14,1.0,7.02,0.5726,0.5726,1,https://www.whoscored.com/players/22740/show/cristian-baroni
9,35758,Yann Sommer,FC Basel 1893,Switzerland,1,14,1.0,7.0,0.56611,0.56611,1,https://www.whoscored.com/players/35758/show/yann-sommer
10,10181,Volkan Demirel,Fenerbahce,Turkey,1,13,0.92857,7.12,0.60593,0.56265,1,https://www.whoscored.com/players/10181/show/volkan-demirel
11,35895,Valentin Stocker,FC Basel 1893,Switzerland,14,13,0.92857,7.12,0.60593,0.56265,1,https://www.whoscored.com/players/35895/show/valentin-stocker
12,76921,Vlad Chiriches,FC FCSB,Romania,21,10,0.71429,7.59,0.78248,0.55892,1,https://www.whoscored.com/players/76921/show/vlad-chiriches
13,34052,Vicente Iborra,Levante,Spain,NA,10,0.71429,7.58,0.77836,0.55597,1,https://www.whoscored.com/players/34052/show/vicente-iborra
14,21778,Jan Vertonghen,Tottenham,Belgium,4,12,0.85714,7.22,0.6407,0.54917,1,https://www.whoscored.com/players/21778/show/jan-vertonghen
15,4056,Fernando Torres,Chelsea,Spain,9,9,0.64286,7.72,0.83748,0.53838,1,https://www.whoscored.com/players/4056/show/fernando-torres
16,10970,Gökdeniz Karadeniz,Rubin Kazan,Turkey,61,12,0.85714,7.18,0.62662,0.5371,1,https://www.whoscored.com/players/10970/show/gökdeniz-karadeniz
